"Category","binance","bittrex","bitfinex"
"30.00%",5928.348840000022,42.936016959999996,351.99964249000004
"20.00%",4868.58728000002,31.13633022,351.99964249000004
"10.00%",3240.7623400000143,16.216250649999996,351.99964249000004
"5.00%",1672.7037800000055,10.035997639999996,351.99964249000004
"1.00%",505.17603000000247,2.2382573400000005,343.52900533
"0.50%",250.84181000000055,1.9665759200000001,213.17036498999997
"0.10%",120.53364999999997,0.52759294,30.202872980000002
"0.10%",92.77260000000005,0.56274165,30.51646373000001
"0.50%",244.59660000000036,0.78397909,236.77864145
"1.00%",625.5271400000029,1.8952285399999997,274.77048404
"5.00%",2028.0558900000085,7.98745396,290.3908798
"10.00%",2885.4320800000105,10.61836483,290.3908798
"20.00%",4087.6437700000106,19.906100109999997,290.3908798
"30.00%",4421.94225000001,25.76749503999999,290.3908798